"","County","Population","Households","Total Covid Deaths","Covid Deaths Per Thousand","Median Age","Median HHI","% A25+ College Grad+","Unemployment Rate","% of HH on Public Assist.","% Asian","% Black","% Native American","% Pacific Islander","% White","% Hispanic"
"67","Osceola",23323,5008,85,3.62,44.3,46969,15,7.6,24.1,0.4,1.2,0.7,0,94.2,2
"68","Oscoda",8282,1591,57,6.92,52.3,43457,12,9.3,25.6,0.1,0.6,0.6,0,94.9,1.7
"69","Otsego",24613,5161,104,4.22,44.8,55917,25.6,5.7,25.3,0.6,0.6,0.3,0,94.4,1.8
"70","Ottawa",289162,69000,815,2.79,35.5,72418,35.1,4,13.9,2.5,1.4,0.2,0,83.2,10
"71","Presque Isle",12687,1992,61,4.84,55.7,48734,18.8,6.4,21.3,0.6,0.4,0.4,0,95.3,1.5
"72","Roscommon",23863,3520,120,5,56.6,41828,16.3,8.4,34.3,0.3,0.3,0.4,0,94.3,2
"73","Saginaw",191166,40792,971,5.1,41,49565,22.1,6.5,36.4,1.2,18.4,0.2,0,68.9,8.7
"74","St. Clair",159285,33203,849,5.34,44,58722,19.1,6.6,25.6,0.5,2.3,0.1,0,90.9,3.5
"75","St. Joseph",60789,14892,212,3.48,39.8,53253,16,4.2,22.9,0.5,1.9,0,0,86.1,8.1
"76","Sanilac",41179,8810,203,4.93,45.4,49852,14.8,6.1,25.6,0.3,0.5,0.2,0,93.7,3.8
"77","Schoolcraft",8031,1362,16,1.98,52.3,48443,18.9,7.4,28.9,0.4,0.5,5.9,0,85.6,1.2
"78","Shiawassee",68176,14397,233,3.42,43,56436,17.8,3.9,22.6,0.3,0.8,0.2,0,93.7,2.9
"79","Tuscola",52683,10437,288,5.51,44.8,51891,13.5,6.6,26.4,0.4,1,0.2,0,92.8,3.5
"80","Van Buren",75416,17371,283,3.74,41.1,56652,20.8,5.2,30.5,0.7,3.6,0.3,0,80.7,11.6
"81","Washtenaw",368385,68314,545,1.48,33.9,75730,56.7,4.5,16.1,9.1,11.7,0.2,0,69.6,4.9
"82","Wayne",1753059,414277,8190,4.68,37.9,49359,25.2,8.9,42.7,3.4,38.1,0.3,0,49.2,6.1
"83","Wexford",33433,7772,113,3.36,41.7,50335,19.7,6.1,26.6,0.4,0.7,0.3,0.1,93.5,2.1
